temp1,temp2
__dummy,0
var_0_0_00,0
var_0_0_01,0
var_0_0_02,0
var_0_0_03,0
var_0_0_04,0
var_0_0_05,0
var_0_0_06,0
var_0_0_07,0
var_0_0_08,0
var_0_0_09,0
var_0_0_10,0.125
var_0_0_11,0.125
var_0_0_12,0
var_0_0_13,0
var_0_0_14,0
var_0_0_15,0
var_0_0_16,0
var_0_0_17,0
var_0_0_18,0
var_0_0_19,0
var_0_0_20,0
var_0_0_21,0
var_0_0_22,0
var_0_0_23,0.125
var_0_1_00,0
var_0_1_01,0.125
var_0_1_02,0
var_0_1_03,0
var_0_1_04,0.125
var_0_1_05,0
var_0_1_06,0
var_0_1_07,0
var_0_1_08,0
var_0_1_09,0
var_0_1_10,0
var_0_1_11,0
var_0_1_12,0
var_0_1_13,0
var_0_1_14,0.125
var_0_1_15,0
var_0_1_16,0
var_0_1_17,0.125
var_0_1_18,0.125
var_0_1_19,0
var_0_1_20,0
var_0_1_21,0
var_0_1_22,0
var_0_1_23,0
var_3_0_18,0
var_3_0_19,0.5
var_3_0_20,0
var_3_0_21,0
var_3_0_22,0
var_3_0_23,0
var_3_1_18,0
var_3_1_19,0
var_3_1_20,0.5
var_3_1_21,0
var_3_1_22,0
var_3_1_23,0
var_1_0_00,0
var_1_1_00,0
var_1_0_01,0.25
var_1_1_01,0
var_1_0_02,0
var_1_1_02,0
var_1_0_03,0
var_1_1_03,0
var_1_0_04,0
var_1_1_04,0
var_1_0_05,0
var_1_1_05,0.25
var_1_0_06,0
var_1_1_06,0
var_1_0_07,0
var_1_1_07,0
var_1_0_08,0
var_1_1_08,0
var_4_0_00,0
var_4_0_01,0
var_4_0_02,0
var_4_0_03,1
var_4_1_00,0
var_4_1_01,0
var_4_1_02,0
var_4_1_03,0
var_1_0_09,0
var_1_1_09,0.25
var_1_0_10,0
var_1_1_10,0
var_1_0_11,0
var_1_1_11,0.25
var_1_0_12,0
var_1_1_12,0
var_1_0_13,0.25
var_1_1_13,0
var_1_0_14,0
var_1_1_14,0
var_1_0_15,0.25
var_1_1_15,0
var_1_0_16,0
var_1_1_16,0
var_1_0_17,0
var_1_1_17,0
var_1_0_18,0
var_1_1_18,0
var_4_0_04,0
var_4_0_05,1
var_4_0_06,0
var_4_0_07,0
var_4_1_04,0
var_4_1_05,0
var_4_1_06,0
var_4_1_07,0
var_1_0_19,0
var_1_1_19,0
var_1_0_20,0
var_1_1_20,0
var_1_0_21,0
var_1_1_21,0
var_1_0_22,0
var_1_1_22,0.25
var_1_0_23,0
var_1_1_23,0.25
var_2_0_00,0
var_2_1_00,0
var_2_0_01,0
var_2_1_01,0
var_2_0_02,0
var_2_1_02,0
var_2_0_03,0
var_2_1_03,0.5
var_2_0_04,0
var_2_1_04,0
var_4_0_08,0
var_4_0_09,1
var_4_0_10,0
var_4_0_11,0
var_4_1_08,0
var_4_1_09,0
var_4_1_10,0
var_4_1_11,0
var_2_0_05,0
var_2_1_05,0
var_2_0_06,0
var_2_1_06,0
var_2_0_07,0
var_2_1_07,0.5
var_2_0_08,0
var_2_1_08,0.5
var_2_0_09,0
var_2_1_09,0
var_2_0_10,0
var_2_1_10,0
var_2_0_11,0
var_2_1_11,0
var_2_0_12,0
var_2_1_12,0
var_2_0_13,0
var_2_1_13,0.5
var_2_0_14,0
var_2_1_14,0
var_4_0_12,1
var_4_0_13,0
var_4_0_14,0
var_4_0_15,0
var_4_1_12,0
var_4_1_13,0
var_4_1_14,0
var_4_1_15,0
var_2_0_15,0
var_2_1_15,0
var_2_0_16,0
var_2_1_16,0.5
var_2_0_17,0
var_2_1_17,0
var_2_0_18,0
var_2_1_18,0
var_2_0_19,0
var_2_1_19,0
var_2_0_20,0
var_2_1_20,0
var_2_0_21,0
var_2_1_21,0.5
var_2_0_22,0
var_2_1_22,0
var_2_0_23,0
var_2_1_23,0
var_3_0_00,0
var_3_1_00,0.5
var_4_0_16,0
var_4_0_17,0
var_4_0_18,0
var_4_0_19,0
var_4_1_16,0
var_4_1_17,0
var_4_1_18,0
var_4_1_19,1
var_3_0_01,0
var_3_1_01,0
var_3_0_02,0
var_3_1_02,0.5
var_3_0_03,0
var_3_1_03,0
var_3_0_04,0
var_3_1_04,0
var_3_0_05,0
var_3_1_05,0
var_3_0_06,0
var_3_1_06,0.5
var_3_0_07,0.5
var_3_1_07,0
var_3_0_08,0
var_3_1_08,0
var_3_0_09,0
var_3_1_09,0
var_3_0_10,0
var_3_1_10,0
var_4_0_20,0
var_4_0_21,1
var_4_0_22,0
var_4_0_23,0
var_4_1_20,0
var_4_1_21,0
var_4_1_22,0
var_4_1_23,0
var_3_0_11,0
var_3_1_11,0
var_3_0_12,0
var_3_1_12,0
var_3_0_13,0
var_3_1_13,0
var_3_0_14,0
var_3_1_14,0
var_3_0_15,0
var_3_1_15,0.5
var_3_0_16,0
var_3_1_16,0
var_3_0_17,0.5
var_3_1_17,0
var_5_0_00,1
var_5_0_01,0
var_5_1_00,0
var_5_1_01,0
var_5_0_02,1
var_5_0_03,0
var_5_1_02,0
var_5_1_03,0
var_5_0_04,1
var_5_0_05,0
var_5_1_04,0
var_5_1_05,0
var_5_0_06,1
var_5_0_07,0
var_5_1_06,0
var_5_1_07,0
var_5_0_08,1
var_5_1_08,0
var_5_0_09,0
var_5_1_09,0
var_5_0_10,0
var_5_1_10,1
var_5_0_11,0
var_5_1_11,0
var_5_0_12,0
var_5_1_12,1
var_5_0_13,0
var_5_1_13,0
var_5_0_14,1
var_5_1_14,0
var_5_0_15,0
var_5_1_15,0
var_5_0_16,1
var_5_1_16,0
var_5_0_17,0
var_5_1_17,0
var_5_0_18,1
var_5_1_18,0
var_5_0_19,0
var_5_1_19,0
var_5_0_20,1
var_5_1_20,0
var_5_0_21,0
var_5_1_21,0
var_5_0_22,1
var_5_1_22,0
var_5_0_23,0
var_5_1_23,0
